ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Goodbye.DEVICE	Group	PleaseChoose.DEVICE	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Welcome.DEVICE	Block	BlockList	BlockList.Cycle	BlockList.Sample	InstructionsExpe.DEVICE	Procedure[Block]	Running[Block]	Trial	Bis.ACC	Bis.CRESP	Bis.DEVICE	Bis.DurationError	Bis.OnsetDelay	Bis.OnsetTime	Bis.OnsetToOnsetTime	Bis.RESP	Bis.RT	Bis.RTTime	Break.DEVICE	Break.FirstFrameTime	Break.FrameRate	Break.FramesDisplayed	Break.FramesDropped	CorrectAnswer	Determiner	Fixation.DEVICE	Fixation.DurationError	Fixation.OnsetDelay	Fixation.OnsetTime	Fixation.OnsetToOnsetTime	Fixation.RESP	Fixation.RT	Fixation.RTTime	Image	Image_red	Item_type	Procedure[Trial]	QSound	Running[Trial]	Sound	Stimulus.DEVICE	TrainingList	TrainingList.Cycle	TrainingList.Sample	TrialList1	TrialList1.Cycle	TrialList1.Sample	TrialList2	TrialList2.Cycle	TrialList2.Sample
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3..0.3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	11	1	2	Mouse	-999999	26	1436202	0	2	3318	1439520		0	0	0	0	2	prop.name	Mouse	-999999	35	1424835	0	2	2333	1427168	14.Mickey	14.Mickey_400	filler	TrialProc	fill.Mickey	TrialList1	mickey	Mouse				46	1	7			
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3..0.3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	12	1	2	Mouse	-999999	27	1449686	0	2	2626	1452312		0	0	0	0	2	prop.name	Mouse	-999999	32	1439552	0	1	1832	1441384	13.Trump	13.Trump_400	filler	TrialProc	fill.Trump	TrialList1	trump	Mouse				45	1	8			
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3..0.3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	13	0	2	Mouse	-999999	18	1464220	0	1	4788	1469008		0	0	0	0	2	generic	Mouse	-999999	41	1452353	0	2	1983	1454336	5.mariposa.azul	5.mariposa.azul_400	filler	TrialProc	fill.mariposas..azules	TrialList1	mariposa	Mouse				21	1	9			
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3..0.3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	14	1	1	Mouse	-999999	24	1479837	0	1	2779	1482616		0	0	0	0	1	prop.name	Mouse	-999999	29	1469037	0	1	2675	1471712	8.shakira	8.shakira_400	filler	TrialProc	fill.Shakira	TrialList1	shakira	Mouse				40	1	10			
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3..0.3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	15	1	2	Mouse	-999999	18	1494154	0	2	2734	1496888		0	0	0	0	2	generic	Mouse	-999999	38	1482654	0	1	2706	1485360	12.pizza_cuadrada	12.pizza_cuadrada_400	filler	TrialProc	fill.pizzas	TrialList1	pizza	Mouse				28	1	11			
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3..0.3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	16	1	2	Mouse	-999999	25	1509421	0	2	2771	1512192		0	0	0	0	2	prop.name	Mouse	-999999	33	1496921	0	1	4303	1501224	12.olentzero	12.olentzero_400	filler	TrialProc	fill.Olentzero	TrialList1	olentzero	Mouse				44	1	12			
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3..0.3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	17	1	1	Mouse	-999999	25	1522121	0	1	3127	1525248		0	0	0	0	1	generic	Mouse	-999999	46	1512238	0	1	1114	1513352	2.perro.sin.cola	2.perro.sin.cola_400	critical	TrialProc	gen.perros..cola	TrialList1	perro	Mouse				2	1	13			
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3..0.3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	18	1	2	Mouse	-999999	12	1537255	0	2	2785	1540040		0	0	0	0	2	universal	Mouse	-999999	40	1525288	0	1	3272	1528560	10.black.pig	10.black.pig_400	critical	TrialProc	uni.cerdos.rosa	TrialList1	cerdo	Mouse				10	1	14			
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3..0.3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	19	1	1	Mouse	-999999	13	1551122	0	1	3070	1554192		0	0	0	0	1	prop.name	Mouse	-999999	32	1540072	0	1	2376	1542448	7.donald.duck	7.donald.duck_400	filler	TrialProc	fill.Pato.Donald	TrialList1	pato_donald	Mouse				39	1	15			
Generico_V2	2	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2835936</Frequency><Timestamp dt:dt="r8">1566065164</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-10-23T09:19:17Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Generico_V2-2-1	59.996	1.0.0.341	Mouse	1	Keyboard	1566578771	Full	3.0.3.80	3.0.3.80	10-23-2019	23/10/2019 9:19:17	11:19:17	3..0.3.82	Mouse	1	1	1	1	Mouse	BlockProc	BlockList	20	1	2	Mouse	-999999	26	1567689	0	2	3487	1571176		0	0	0	0	2	universal	Mouse	-999999	30	1554222	0	1	2650	1556872	13.Giraffe-With-a-Short-Neck	13.Giraffe-With-a-Short-Neck_400	critical	TrialProc	uni.jirafas.cuello	TrialList1	jirafa	Mouse				13	1	16			
